iter	Passed	Remaining
0	236	236267
1	238	119257
2	241	80103
3	243	60521
4	245	48776
5	246	40873
6	248	35237
7	249	30971
8	251	27666
9	252	24992
10	253	22805
11	255	21019
12	257	19540
13	258	18224
14	260	17093
15	261	16102
16	263	15217
17	264	14444
18	266	13756
19	268	13153
20	269	12575
21	272	12103
22	274	11646
23	275	11210
24	276	10800
25	278	10417
26	279	10061
27	280	9738
28	281	9418
29	282	9143
30	284	8879
31	285	8633
32	286	8409
33	288	8202
34	290	8008
35	291	7805
36	293	7627
37	295	7475
38	296	7304
39	297	7145
40	299	6996
41	300	6850
42	302	6735
43	303	6599
44	304	6464
45	305	6340
46	306	6220
47	308	6110
48	309	5997
49	310	5890
50	310	5783
51	311	5681
52	312	5580
53	313	5483
54	313	5393
55	314	5306
56	315	5220
57	317	5149
58	318	5077
59	319	5008
60	320	4936
61	321	4865
62	322	4796
63	323	4730
64	324	4664
65	325	4599
66	325	4536
67	326	4470
68	327	4415
69	328	4359
70	328	4302
71	329	4251
72	331	4205
73	332	4157
74	333	4108
75	333	4060
76	335	4015
77	335	3968
78	336	3926
79	337	3881
80	338	3839
81	339	3796
82	339	3755
83	340	3714
84	341	3671
85	341	3632
86	342	3592
87	343	3556
88	343	3521
89	345	3488
90	345	3455
91	346	3423
92	347	3391
93	348	3360
94	349	3332
95	350	3303
96	351	3275
97	352	3247
98	353	3219
99	354	3193
100	355	3166
101	356	3136
102	357	3110
103	358	3085
104	359	3060
105	359	3034
106	361	3013
107	362	2993
108	363	2971
109	364	2949
110	365	2929
111	366	2906
112	367	2883
113	368	2863
114	369	2841
115	369	2818
116	370	2799
117	371	2779
118	372	2757
119	373	2738
120	374	2719
121	375	2699
122	375	2677
123	376	2659
124	377	2642
125	378	2627
126	380	2612
127	380	2592
128	381	2576
129	382	2561
130	384	2547
131	385	2533
132	386	2520
133	387	2506
134	388	2490
135	389	2475
136	390	2461
137	392	2449
138	393	2437
139	394	2422
140	395	2407
141	396	2393
142	396	2378
143	397	2363
144	398	2349
145	399	2335
146	400	2322
147	401	2309
148	402	2296
149	402	2283
150	403	2271
151	404	2258
152	405	2246
153	421	2316
154	422	2303
155	423	2293
156	425	2283
157	426	2272
158	427	2261
159	428	2248
160	429	2237
161	430	2225
162	431	2213
163	431	2202
164	432	2191
165	434	2180
166	434	2169
167	435	2158
168	436	2147
169	437	2136
170	439	2129
171	440	2119
172	441	2108
173	442	2098
174	443	2089
175	444	2078
176	445	2069
177	445	2059
178	446	2049
179	447	2039
180	448	2027
181	449	2018
182	450	2009
183	450	2000
184	451	1990
185	452	1981
186	454	1975
187	455	1966
188	456	1957
189	457	1949
190	458	1941
191	459	1932
192	459	1923
193	460	1914
194	461	1905
195	462	1897
196	463	1888
197	464	1879
198	464	1871
199	465	1862
200	466	1854
201	467	1846
202	468	1838
203	469	1833
204	470	1826
205	471	1817
206	472	1810
207	473	1802
208	474	1795
209	475	1787
210	476	1780
211	477	1773
212	478	1766
213	479	1759
214	480	1752
215	481	1745
216	481	1738
217	482	1731
218	484	1727
219	485	1721
220	486	1715
221	487	1709
222	488	1702
223	489	1695
224	490	1688
225	491	1682
226	492	1675
227	492	1668
228	493	1662
229	494	1655
230	495	1649
231	496	1642
232	497	1636
233	497	1629
234	498	1623
235	499	1618
236	500	1612
237	501	1606
238	502	1600
239	503	1595
240	504	1589
241	505	1584
242	506	1578
243	507	1573
244	508	1567
245	509	1561
246	510	1555
247	511	1550
248	512	1545
249	513	1539
250	514	1534
251	515	1529
252	516	1524
253	517	1519
254	518	1514
255	519	1508
256	519	1503
257	520	1497
258	521	1492
259	522	1487
260	523	1482
261	524	1477
262	525	1472
263	526	1467
264	527	1462
265	528	1457
266	529	1454
267	530	1449
268	531	1444
269	532	1439
270	533	1435
271	534	1431
272	535	1426
273	536	1422
274	538	1418
275	539	1413
276	540	1409
277	540	1404
278	541	1400
279	542	1395
280	543	1390
281	544	1385
282	545	1381
283	546	1377
284	547	1373
285	548	1369
286	549	1365
287	550	1360
288	551	1356
289	552	1351
290	552	1347
291	553	1342
292	554	1338
293	555	1334
294	556	1330
295	557	1326
296	558	1322
297	559	1317
298	560	1314
299	561	1309
300	562	1305
301	563	1301
302	564	1297
303	564	1293
304	565	1289
305	566	1285
306	567	1281
307	568	1277
308	569	1273
309	570	1268
310	570	1264
311	571	1261
312	572	1257
313	573	1253
314	574	1249
315	575	1246
316	576	1242
317	577	1239
318	579	1236
319	580	1232
320	581	1229
321	582	1225
322	583	1222
323	584	1218
324	585	1215
325	586	1212
326	587	1208
327	588	1204
328	588	1201
329	589	1197
330	591	1195
331	592	1192
332	593	1189
333	594	1185
334	595	1182
335	596	1178
336	597	1175
337	598	1171
338	599	1168
339	600	1164
340	600	1161
341	601	1157
342	602	1154
343	603	1150
344	604	1146
345	604	1143
346	605	1140
347	607	1137
348	607	1134
349	608	1130
350	609	1126
351	610	1123
352	611	1120
353	612	1117
354	613	1114
355	614	1110
356	614	1107
357	615	1104
358	616	1100
359	617	1098
360	618	1095
361	619	1092
362	621	1089
363	622	1087
364	623	1084
365	624	1081
366	625	1078
367	626	1075
368	627	1072
369	628	1069
370	628	1066
371	629	1063
372	630	1060
373	631	1057
374	632	1054
375	633	1051
376	634	1049
377	636	1047
378	637	1044
379	638	1042
380	639	1039
381	640	1036
382	641	1033
383	642	1030
384	643	1028
385	644	1025
386	645	1022
387	646	1019
388	646	1016
389	647	1013
390	648	1010
391	649	1007
392	650	1004
393	651	1002
394	652	999
395	653	997
396	654	994
397	655	991
398	656	988
399	657	985
400	657	982
401	658	979
402	659	977
403	660	974
404	661	971
405	662	969
406	663	966
407	663	963
408	664	960
409	665	957
410	666	955
411	667	952
412	668	950
413	669	947
414	670	945
415	671	942
416	672	939
417	672	936
418	673	934
419	674	931
420	675	929
421	676	926
422	677	924
423	678	921
424	679	918
425	679	916
426	680	913
427	681	910
428	682	908
429	683	905
430	684	903
431	685	901
432	686	898
433	687	896
434	688	893
435	688	891
436	689	888
437	690	886
438	691	883
439	692	880
440	692	878
441	693	875
442	694	873
443	695	870
444	696	868
445	697	865
446	697	863
447	698	861
448	699	858
449	700	856
450	701	854
451	702	851
452	703	849
453	704	846
454	704	844
455	705	841
456	706	839
457	707	836
458	707	834
459	708	832
460	709	829
461	710	827
462	711	825
463	712	823
464	713	821
465	714	819
466	715	816
467	716	814
468	717	812
469	718	810
470	719	807
471	720	805
472	720	803
473	721	800
474	722	798
475	723	796
476	724	794
477	725	792
478	726	790
479	727	788
480	728	786
481	729	783
482	730	781
483	731	779
484	732	777
485	733	775
486	733	773
487	734	770
488	735	768
489	736	766
490	737	764
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	744	750
498	745	748
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	751	736
505	752	734
506	753	732
507	754	730
508	755	728
509	755	726
510	756	724
511	757	722
512	758	720
513	759	718
514	760	716
515	761	714
516	762	712
517	763	710
518	764	708
519	765	706
520	766	704
521	766	702
522	767	700
523	768	698
524	769	696
525	770	694
526	771	692
527	772	690
528	773	688
529	773	686
530	774	684
531	775	682
532	776	680
533	777	678
534	778	676
535	779	674
536	780	672
537	781	670
538	781	668
539	782	666
540	783	664
541	784	663
542	785	661
543	786	659
544	787	657
545	788	655
546	788	653
547	790	651
548	790	649
549	791	647
550	792	646
551	793	644
552	795	642
553	795	640
554	796	638
555	797	637
556	798	635
557	799	633
558	800	631
559	801	629
560	802	628
561	803	626
562	805	625
563	807	623
564	807	622
565	808	620
566	809	618
567	810	616
568	811	614
569	812	613
570	813	611
571	814	609
572	815	607
573	816	605
574	817	604
575	818	602
576	819	600
577	820	598
578	821	597
579	822	595
580	823	593
581	824	591
582	825	590
583	825	588
584	826	586
585	827	584
586	828	583
587	829	581
588	830	579
589	831	577
590	832	576
591	833	574
592	834	572
593	835	571
594	836	569
595	837	567
596	837	565
597	838	563
598	839	562
599	840	560
600	841	558
601	842	556
602	843	555
603	844	553
604	845	551
605	845	549
606	846	548
607	847	546
608	848	544
609	849	543
610	850	541
611	850	539
612	851	537
613	852	536
614	853	534
615	855	533
616	856	531
617	857	529
618	858	528
619	859	526
620	860	524
621	860	523
622	861	521
623	862	519
624	863	517
625	864	516
626	865	514
627	866	513
628	867	511
629	868	509
630	869	508
631	869	506
632	870	504
633	871	503
634	872	501
635	873	499
636	874	498
637	874	496
638	875	494
639	876	493
640	877	491
641	878	489
642	880	488
643	881	487
644	882	485
645	883	484
646	884	482
647	885	481
648	886	479
