iter	Passed	Remaining
0	139	139302
1	140	70323
2	141	47152
3	143	35793
4	145	28878
5	147	24393
6	149	21189
7	150	18662
8	152	16778
9	153	15240
10	155	13955
11	156	12912
12	159	12075
13	161	11358
14	163	10714
15	165	10163
16	166	9629
17	169	9224
18	170	8781
19	171	8383
20	172	8038
21	174	7739
22	176	7483
23	177	7226
24	179	6992
25	180	6772
26	181	6551
27	183	6371
28	184	6183
29	185	6003
30	187	5860
31	188	5714
32	190	5586
33	193	5502
34	195	5377
35	196	5255
36	197	5143
37	198	5036
38	199	4927
39	201	4827
40	202	4736
41	203	4646
42	204	4559
43	205	4473
44	207	4395
45	208	4314
46	209	4249
47	211	4192
48	213	4152
49	215	4096
50	216	4031
51	218	3975
52	219	3918
53	220	3854
54	221	3812
55	224	3776
56	225	3733
57	227	3687
58	228	3642
59	229	3593
60	230	3553
61	231	3505
62	232	3464
63	233	3422
64	235	3382
65	237	3359
66	239	3336
67	241	3303
68	242	3269
69	243	3236
70	244	3201
71	245	3164
72	246	3136
73	248	3103
74	249	3072
75	250	3041
76	252	3025
77	253	2998
78	254	2971
79	255	2943
80	257	2919
81	258	2895
82	259	2863
83	260	2836
84	261	2809
85	261	2783
86	263	2760
87	263	2735
88	264	2711
89	265	2687
90	266	2664
91	267	2644
92	268	2623
93	269	2602
94	270	2580
95	271	2560
96	272	2538
97	273	2517
98	274	2497
99	275	2476
100	276	2459
101	277	2440
102	278	2421
103	278	2403
104	279	2385
105	280	2369
106	281	2351
107	282	2335
108	283	2320
109	284	2305
110	285	2290
111	286	2275
112	287	2260
113	288	2245
114	289	2230
115	290	2214
116	291	2197
117	292	2183
118	293	2170
119	293	2154
120	294	2141
121	295	2126
122	296	2113
123	297	2101
124	298	2089
125	299	2077
126	300	2063
127	301	2051
128	301	2038
129	302	2026
130	303	2015
131	304	2004
132	305	1992
133	306	1981
134	307	1969
135	308	1957
136	309	1947
137	309	1935
138	310	1925
139	311	1915
140	312	1904
141	313	1892
142	314	1881
143	314	1871
144	315	1860
145	316	1850
146	317	1841
147	318	1831
148	319	1822
149	319	1812
150	320	1803
151	321	1794
152	322	1785
153	323	1776
154	324	1769
155	325	1760
156	326	1751
157	327	1746
158	328	1739
159	329	1731
160	330	1721
161	331	1713
162	332	1705
163	333	1697
164	333	1689
165	334	1681
166	335	1673
167	336	1666
168	337	1658
169	338	1651
170	339	1643
171	339	1636
172	340	1628
173	341	1622
174	343	1617
175	344	1611
176	345	1604
177	345	1597
178	346	1590
179	347	1584
180	348	1577
181	349	1570
182	350	1564
183	351	1559
184	352	1552
185	353	1546
186	354	1539
187	354	1533
188	355	1526
189	356	1520
190	357	1514
191	358	1507
192	359	1502
193	360	1497
194	361	1491
195	362	1485
196	363	1479
197	363	1473
198	364	1467
199	365	1462
200	366	1456
201	367	1451
202	368	1445
203	369	1440
204	370	1436
205	371	1431
206	373	1429
207	374	1424
208	375	1420
209	376	1415
210	377	1410
211	378	1405
212	379	1400
213	379	1395
214	380	1390
215	381	1386
216	382	1381
217	383	1376
218	384	1371
219	385	1367
220	386	1363
221	388	1359
222	389	1355
223	390	1351
224	390	1346
225	391	1341
226	392	1337
227	393	1332
228	394	1329
229	395	1324
230	396	1319
231	397	1315
232	398	1310
233	398	1305
234	399	1301
235	400	1296
236	401	1292
237	402	1287
238	402	1283
239	403	1279
240	404	1275
241	405	1271
242	406	1267
243	407	1263
244	408	1260
245	409	1256
246	410	1251
247	411	1248
248	412	1244
249	413	1240
250	414	1235
251	415	1231
252	416	1228
253	416	1224
254	417	1220
255	418	1216
256	419	1213
257	420	1209
258	421	1206
259	422	1202
260	423	1198
261	424	1195
262	425	1191
263	426	1187
264	426	1183
265	427	1180
266	428	1176
267	429	1172
268	430	1169
269	431	1165
270	432	1162
271	433	1159
272	434	1156
273	435	1153
274	436	1150
275	437	1147
276	438	1144
277	439	1140
278	439	1136
279	440	1133
280	441	1130
281	442	1126
282	443	1123
283	444	1119
284	444	1115
285	445	1112
286	446	1109
287	447	1106
288	448	1103
289	449	1101
290	450	1098
291	451	1094
292	452	1091
293	453	1088
294	453	1084
295	454	1081
296	455	1078
297	456	1076
298	457	1073
299	458	1070
300	459	1066
301	460	1063
302	460	1060
303	461	1057
304	462	1054
305	463	1051
306	464	1049
307	465	1046
308	466	1044
309	467	1041
310	468	1038
311	469	1035
312	470	1032
313	471	1029
314	471	1026
315	472	1023
316	473	1020
317	474	1017
318	475	1014
319	476	1011
320	476	1008
321	477	1005
322	478	1002
323	479	1001
324	480	998
325	481	995
326	482	993
327	483	990
328	484	988
329	485	985
330	486	982
331	487	980
332	487	977
333	488	974
334	489	971
335	490	969
336	491	966
337	491	963
338	492	960
339	494	959
340	495	956
341	495	954
342	496	951
343	497	948
344	498	946
345	499	944
346	500	941
347	501	939
348	502	936
349	503	934
350	503	931
351	504	929
352	505	927
353	506	924
354	507	922
355	509	920
356	509	918
357	510	915
358	511	913
359	512	911
360	513	909
361	514	906
362	515	904
363	516	902
364	517	899
365	518	897
366	519	895
367	520	893
368	521	891
369	522	888
370	522	886
371	523	884
372	524	882
373	525	880
374	526	878
375	528	876
376	529	874
377	530	872
378	530	869
379	531	867
380	532	865
381	533	863
382	534	860
383	535	858
384	536	857
385	537	854
386	538	852
387	539	850
388	540	848
389	541	846
390	542	844
391	543	842
392	544	840
393	545	838
394	545	836
395	546	834
396	547	832
397	548	830
398	549	827
399	550	825
400	551	823
401	552	821
402	553	819
403	554	818
404	555	816
405	556	814
406	557	812
407	558	810
408	559	807
409	559	805
410	560	803
411	561	801
412	562	798
413	562	796
414	563	794
415	564	792
416	565	790
417	566	788
418	567	786
419	568	784
420	569	782
421	570	780
422	571	778
423	571	776
424	572	774
425	573	772
426	574	771
427	575	769
428	576	766
429	577	764
430	577	762
431	578	761
432	579	759
433	580	757
434	581	755
435	583	754
436	584	752
437	585	750
438	586	749
439	587	747
440	587	745
441	588	743
442	589	741
443	590	739
444	591	737
445	592	735
446	592	733
447	593	731
448	594	729
449	595	727
450	596	725
451	597	723
452	598	722
453	598	720
454	599	718
455	600	716
456	601	715
457	602	713
458	603	711
459	604	709
460	605	708
461	606	706
462	607	704
463	608	702
464	609	700
465	610	699
466	611	697
467	611	695
468	612	693
469	613	691
470	614	690
471	615	688
472	616	686
473	617	685
474	618	683
475	619	681
476	620	680
477	621	678
478	622	676
479	623	674
480	623	673
481	624	671
482	625	669
483	626	667
484	627	666
485	628	664
486	629	662
487	630	661
488	631	660
489	632	658
490	633	656
491	634	654
492	635	653
493	636	651
494	637	649
495	637	648
496	638	646
497	639	644
498	640	643
499	641	641
500	642	639
501	643	638
502	644	636
503	645	635
504	646	633
505	647	632
506	648	630
507	649	628
508	650	627
509	651	625
510	652	623
511	652	622
512	653	620
513	654	618
514	655	617
515	656	615
516	657	613
517	658	612
518	659	610
519	660	609
520	660	607
521	661	606
522	662	604
523	663	602
524	664	601
525	665	599
526	666	597
527	666	596
528	667	594
529	668	593
530	669	591
531	670	589
532	671	588
533	672	586
534	672	584
535	673	583
536	674	581
537	675	580
538	676	578
539	677	577
540	678	575
541	679	573
542	679	572
543	680	570
544	681	569
545	682	567
546	683	565
547	684	564
548	684	562
549	685	561
550	686	559
551	687	558
552	688	556
553	689	554
554	690	553
555	691	552
556	692	550
557	692	548
558	693	547
559	694	545
560	695	544
561	696	542
562	697	541
563	698	539
564	698	538
565	699	536
566	700	534
567	701	533
568	702	531
569	703	530
570	704	528
571	704	527
572	705	526
573	706	524
574	708	523
575	708	521
576	709	520
577	710	518
578	711	517
579	712	515
580	713	514
581	713	512
582	714	511
583	715	509
584	716	508
585	717	506
586	718	505
587	719	504
588	720	502
589	721	501
590	722	500
591	723	498
592	724	497
593	725	495
594	726	494
595	726	492
596	727	491
597	728	489
598	729	488
599	730	486
600	730	485
601	731	483
602	732	482
603	733	481
604	734	479
605	735	478
606	736	476
607	737	475
608	738	474
609	740	473
610	741	471
611	742	470
612	743	469
613	743	467
614	744	466
615	745	464
616	746	463
617	747	461
618	748	460
619	749	459
620	750	457
621	751	456
622	752	455
623	753	453
624	754	452
625	754	451
626	755	449
627	756	448
628	757	446
629	758	445
630	759	444
631	760	442
632	760	441
633	761	439
634	762	438
635	763	436
636	763	435
637	764	433
638	765	432
639	766	431
640	767	429
641	768	428
642	769	427
643	770	425
644	771	424
645	772	423
646	773	421
647	773	420
648	774	418
649	775	417
650	776	416
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	781	407
657	782	406
658	783	405
659	784	404
660	785	402
661	785	401
662	786	399
663	787	398
664	788	397
665	789	395
666	789	394
667	790	393
668	791	391
669	792	390
670	793	389
671	794	387
672	795	386
673	796	385
674	797	384
675	798	382
676	799	381
677	799	379
678	801	378
679	801	377
680	802	376
681	803	374
682	804	373
683	805	372
684	806	370
685	807	369
686	807	368
687	808	366
688	809	365
689	810	364
690	811	362
691	812	361
692	813	360
693	814	359
694	815	357
695	815	356
696	816	355
697	817	353
698	818	352
699	819	351
700	820	349
701	821	348
702	821	347
703	822	345
704	823	344
705	824	343
706	825	341
707	826	340
708	827	339
709	828	338
710	829	336
711	829	335
712	830	334
713	831	333
714	832	331
715	833	330
716	834	329
717	835	328
718	836	326
719	837	325
720	837	324
721	838	322
722	839	321
723	840	320
724	841	319
725	842	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	848	309
733	849	307
734	850	306
735	852	305
736	853	304
737	853	303
738	854	301
739	855	300
740	856	299
741	857	298
742	858	297
743	859	295
744	860	294
745	861	293
746	862	292
747	863	290
748	864	289
749	865	288
750	865	287
751	866	285
752	867	284
753	868	283
754	869	282
755	870	280
756	871	279
757	872	278
758	873	277
759	873	275
760	874	274
761	875	273
762	876	272
763	877	271
764	878	269
765	879	268
766	880	267
767	881	266
768	882	265
769	883	263
770	884	262
771	885	261
772	886	260
773	887	259
774	888	258
775	889	256
776	890	255
777	891	254
778	892	253
779	892	251
780	894	250
781	894	249
782	895	248
783	896	247
784	897	245
785	898	244
786	899	243
787	900	242
788	901	241
789	902	239
790	903	238
791	903	237
792	904	236
793	905	234
794	906	233
795	907	232
796	907	231
797	908	230
798	909	228
799	910	227
800	911	226
801	912	225
802	912	223
803	913	222
804	914	221
805	915	220
806	916	219
807	917	217
808	918	216
809	919	215
810	919	214
811	920	213
812	921	211
813	922	210
814	923	209
815	924	208
816	925	207
817	926	206
818	927	205
819	928	203
820	929	202
821	930	201
822	931	200
823	932	199
824	932	197
825	933	196
826	934	195
827	935	194
828	936	193
829	937	191
830	938	190
831	939	189
832	940	188
833	942	187
834	943	186
835	944	185
836	944	184
837	945	182
838	946	181
839	947	180
840	948	179
841	949	178
842	950	177
843	952	175
844	953	174
845	953	173
846	955	172
847	956	171
848	957	170
849	957	169
850	958	167
851	959	166
852	960	165
853	961	164
854	962	163
855	962	161
856	963	160
857	964	159
858	965	158
859	966	157
860	967	156
861	967	154
862	968	153
863	969	152
864	970	151
865	971	150
866	972	149
867	973	148
868	974	146
869	975	145
870	975	144
871	976	143
872	977	142
873	978	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	984	134
880	985	133
881	986	132
882	987	130
883	988	129
884	989	128
885	990	127
886	991	126
887	992	125
888	993	124
889	994	122
890	995	121
891	996	120
892	997	119
893	998	118
894	999	117
895	1000	116
896	1002	115
897	1003	113
898	1003	112
899	1004	111
900	1005	110
901	1006	109
902	1007	108
903	1008	107
904	1009	105
905	1010	104
906	1010	103
907	1011	102
908	1012	101
909	1013	100
910	1014	99
911	1015	97
912	1016	96
913	1017	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1021	90
919	1022	88
920	1022	87
921	1023	86
922	1024	85
923	1025	84
924	1026	83
925	1027	82
926	1028	80
927	1029	79
928	1030	78
929	1031	77
930	1032	76
931	1033	75
932	1034	74
933	1035	73
934	1035	72
935	1036	70
936	1037	69
937	1038	68
938	1039	67
939	1039	66
940	1040	65
941	1041	64
942	1042	63
943	1043	61
944	1044	60
945	1044	59
946	1045	58
947	1046	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1050	51
953	1051	50
954	1052	49
955	1053	48
956	1054	47
957	1055	46
958	1055	45
959	1056	44
960	1057	42
961	1058	41
962	1059	40
963	1060	39
964	1060	38
965	1061	37
966	1062	36
967	1063	35
968	1064	34
969	1065	32
970	1065	31
971	1066	30
972	1067	29
973	1068	28
974	1069	27
975	1070	26
976	1071	25
977	1071	24
978	1072	23
979	1073	21
980	1074	20
981	1075	19
982	1075	18
983	1076	17
984	1077	16
985	1078	15
986	1079	14
987	1080	13
988	1081	12
989	1081	10
990	1082	9
991	1083	8
992	1084	7
993	1085	6
994	1086	5
995	1087	4
996	1088	3
997	1088	2
998	1089	1
999	1090	0
